ACTE	LIBELLE
AANL001	Irradiation encéphalique en conditions stéréotaxiques avec cadre effractif, en dose unique
AANL002	Séance d irradiation encéphalique en conditions stéréotaxiques avec cadre non effractif, à dose fractionnée
ZZQL021	Fusion numérique multimodale des images acquises par techniques d imagerie en coupes ou imagerie fonctionnelle
ZZMP015	Confection d un système de contention personnalisé [individualisé] pour radiothérapie externe
ZZML001	Contrôle du centrage des champs d irradiation externe [Contrôle balistique] par imagerie portale
ZZML003	Contrôle du centrage des champs d irradiation externe [Contrôle balistique] au cours d une irradiation externe guidée par imagerie [IGRT]
ZZML002	Contrôle de la dose d irradiation externe reçue [Dosimétrie in vivo]
ZZMP017	Enregistrement numérisé et vérification des paramètres d un traitement par irradiation externe [Système record and verify]
ZZNA002	Irradiation externe peropératoire en dose unique
ZZNL044	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 5 faisceaux ou plus, avec utilisation dynamique de collimateur multilame [modulation d intensité] 
ZZNL041	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 3 ou 4 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité] 
ZZNL038	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 1 ou 2 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité] 
ZZNL035	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 5 faisceaux ou plus, avec utilisation dynamique de collimateur multilame [modulation d intensité] 
ZZNL022	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 1 ou 2 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité] 
ZZNL032	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 3 ou 4 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité] 
YYYY197	Irradiation de moins de 300 cm² en champs fixes par accélérateur par fraction de 1,2 Grays pour les faisceaux de 17 à 24,9 MeV 
YYYY049	Irradiation de moins de 300 cm² en champs fixes par accélérateur par fraction de 12 centiGrays pour les faisceaux de 17 à 24,9 MeV 
