"ghm","ghs","borne_basse","borne_haute","dms_n","rsavclass","noseqta","anseqta"
"04M08V","",,,7.05849650997591,"10","003","2007"
"04M08W","",,,11.6760758747443,"10","003","2007"
"04M09V","",,,8.58451933404941,"10","003","2007"
"04M09W","",,,15.0640353298372,"10","003","2007"
"04M10V","",,,8.81505796899008,"10","003","2007"
"04M10W","",,,12.4239067055394,"10","003","2007"
"04M11V","",,,4.00598364470447,"10","003","2007"
"04M11W","",,,8.39264836138175,"10","003","2007"
"04M12V","",,,4.96629381058911,"10","003","2007"
"04M12W","",,,9.52936590436591,"10","003","2007"
"04M13Z","",,,12.0876063014081,"10","003","2007"
"04M14V","",,,6.17150760719225,"10","003","2007"
"04M14W","",,,11.765180878553,"10","003","2007"
"04M15V","",,,5.25009387908374,"10","003","2007"
"04M15W","",,,9.68320770519263,"10","003","2007"
"04M16V","",,,3.98699609882965,"10","003","2007"
"04M16W","",,,8.90196078431373,"10","003","2007"
"04M17V","",,,7.06586620926244,"10","003","2007"
"04M17W","",,,11.9364356769516,"10","003","2007"
"05C02Z","",,,21.6341375585164,"10","003","2007"
"05C03V","",,,11.1682825484765,"10","003","2007"
"05C03W","",,,15.4017428418993,"10","003","2007"
"05C04V","",,,13.1239819004525,"10","003","2007"
"05C04W","",,,20.0388739946381,"10","003","2007"
"05C05V","",,,10.2503082614057,"10","003","2007"
"05C05W","",,,13.0188080117245,"10","003","2007"
"05C06V","",,,11.0276497695853,"10","003","2007"
"05C06W","",,,17.3710477371358,"10","003","2007"
"05C07Z","",,,17.8040935672515,"10","003","2007"
"05C08V","",,,8.25060240963855,"10","003","2007"
"05C08W","",,,16.642523364486,"10","003","2007"
"05C09Z","",,,24.5099337748344,"10","003","2007"
"05C10V","",,,11.3500495540139,"10","003","2007"
"05C10W","",,,18.8561056891216,"10","003","2007"
"05C11V","",,,8.96686608375518,"10","003","2007"
"05C11W","",,,15.8439407149085,"10","003","2007"
"05C12V","",,,20.4422110552764,"10","003","2007"
"05C12W","",,,29.8971166448231,"10","003","2007"
"05C13V","",,,11.6007462686567,"10","003","2007"
"05C13W","",,,20.0621983914209,"10","003","2007"
"05C14Z","",,,13.2099375650364,"10","003","2007"
"05C15Z","",,,7.1602927395243,"10","003","2007"
"05C17V","",,,2.22697923331976,"10","003","2007"
"05C17W","",,,5.59850839030454,"10","003","2007"
"05C18Z","",,,14.1610476455837,"10","003","2007"
"05C19Z","",,,8.20353982300885,"10","003","2007"
"05C20Z","",,,8.60586319218241,"10","003","2007"
"05K05V","",,,5.46788893598983,"10","003","2007"
"05K05W","",,,8.96188036763598,"10","003","2007"
"05K06V","",,,3.48218995265483,"10","003","2007"
"05K06W","",,,7.77207716614003,"10","003","2007"
"05K07Z","",,,9.5608358611392,"10","003","2007"
"05K08Z","",,,4.3997689196996,"10","003","2007"
"05K09Z","",,,8.00042532506987,"10","003","2007"
"05K10Z","",,,3.6978981118632,"10","003","2007"
"05K11Z","",,,4.20590035500061,"10","003","2007"
"05M02E","",,,8.6198050282196,"10","003","2007"
"05M03Z","",,,11.3164683961588,"10","003","2007"
"05M04V","",,,5.64567147613762,"10","003","2007"
"05M04W","",,,9.47155287817938,"10","003","2007"
"05M05V","",,,3.34181701030928,"10","003","2007"
"05M05W","",,,7.95321284207592,"10","003","2007"
"05M06V","",,,4.35969503133682,"10","003","2007"
"05M06W","",,,8.14378227006213,"10","003","2007"
"05M07V","",,,6.50066365808336,"10","003","2007"
"05M07W","",,,11.0371407822388,"10","003","2007"
"05M08V","",,,3.25936514195584,"10","003","2007"
"05M08W","",,,8.02730358636297,"10","003","2007"
"05M09V","",,,7.28421635737744,"10","003","2007"
"05M09W","",,,11.1466936674363,"10","003","2007"
"05M10Z","",,,7.68250652741514,"10","003","2007"
"05M11V","",,,3.41082581540597,"10","003","2007"
"05M11W","",,,9.70169144028703,"10","003","2007"
"05M12V","",,,4.49279443432168,"10","003","2007"
"05M12W","",,,11.3503969208564,"10","003","2007"
"05M13Z","",,,4.17764682773522,"10","003","2007"
"05M14Z","",,,10.8615441722346,"10","003","2007"
"05M15Z","",,,6.9471469120094,"10","003","2007"
"05M16V","",,,5.02152276685743,"10","003","2007"
"05M16W","",,,9.96640857653365,"10","003","2007"
"05M17V","",,,4.50007247427163,"10","003","2007"
"05M17W","",,,9.18233830845771,"10","003","2007"
"05M18Z","",,,20.7366851299531,"10","003","2007"
"06C02Z","",,,32.2241992882562,"10","003","2007"
"06C03V","",,,14.0630447414294,"10","003","2007"
"06C03W","",,,23.4710584343991,"10","003","2007"
"06C04V","",,,11.8731109523548,"10","003","2007"
"06C04W","",,,22.2606924643585,"10","003","2007"
"06C05Z","",,,7.29295774647887,"10","003","2007"
"06C07V","",,,8.42893660531697,"10","003","2007"
"06C07W","",,,18.1143300569064,"10","003","2007"
"06C08V","",,,5.72366790582404,"10","003","2007"
"06C08W","",,,10.7123233908948,"10","003","2007"
"06C09V","",,,3.88065856007705,"10","003","2007"
"06C09W","",,,7.01972242512783,"10","003","2007"
"06C10Z","",,,2.42946776287322,"10","003","2007"
"06C11V","",,,5.18777369066386,"10","003","2007"
"06C11W","",,,9.62025544162619,"10","003","2007"
"06C12V","",,,3.36279108266196,"10","003","2007"
"06C12W","",,,6.41153722204318,"10","003","2007"
"06C13V","",,,7.07712418300654,"10","003","2007"
"06C13W","",,,13.8990825688073,"10","003","2007"
"06C14V","",,,3.67596739005626,"10","003","2007"
"06C14W","",,,7.80875646093037,"10","003","2007"
"06C15V","",,,7.8472613458529,"10","003","2007"
"06C15W","",,,18.2747292418773,"10","003","2007"
"06C16V","",,,16.8315217391304,"10","003","2007"
"06C16W","",,,28.418235877106,"10","003","2007"
"06C17V","",,,6.90207269450285,"10","003","2007"
"06C17W","",,,19.8928825622776,"10","003","2007"
"06M01S","",,,13.4572384853632,"10","003","2007"
"06M02V","",,,2.8802226181658,"10","003","2007"
"06M02W","",,,6.23742563547864,"10","003","2007"
"06M03V","",,,3.58024417314095,"10","003","2007"
"06M03W","",,,7.93679592836304,"10","003","2007"
"06M04V","",,,3.4879679144385,"10","003","2007"
"06M04W","",,,8.56353790613718,"10","003","2007"
"06M05V","",,,5.009242355089,"10","003","2007"
"06M05W","",,,11.9553321744388,"10","003","2007"
"06M06V","",,,5.09750128066481,"10","003","2007"
"06M06W","",,,9.14451544195953,"10","003","2007"
"06M07V","",,,6.31049321416749,"10","003","2007"
"06M07W","",,,10.5661322645291,"10","003","2007"
"06M08Z","",,,3.76503530557585,"10","003","2007"
"06M09V","",,,2.96682039456828,"10","003","2007"
"06M09W","",,,8.61581733951026,"10","003","2007"
"06M10Z","",,,7.56326530612245,"10","003","2007"
"06M11V","",,,3.8582295988935,"10","003","2007"
"06M11W","",,,8.86139169472503,"10","003","2007"
"07C04V","",,,4.95029159330986,"10","003","2007"
"07C04W","",,,10.7266752962262,"10","003","2007"
"07C06Z","",,,12.0602409638554,"10","003","2007"
"07C07Z","",,,15.1903225806452,"10","003","2007"
"07C08Z","",,,24.1104417670683,"10","003","2007"
"07C09V","",,,12.6526366715046,"10","003","2007"
"07C09W","",,,20.6737320211961,"10","003","2007"
"07C10V","",,,9.59548611111111,"10","003","2007"
"07C10W","",,,29.1059947871416,"10","003","2007"
"07C11V","",,,16.04329004329,"10","003","2007"
"07C11W","",,,23.2860520094563,"10","003","2007"
"07C12V","",,,10.5950258094791,"10","003","2007"
"07C12W","",,,17.9439002671416,"10","003","2007"
"07M01S","",,,15.3854709546206,"10","003","2007"
"07M02V","",,,3.93542146476278,"10","003","2007"
"07M02W","",,,8.81499598452216,"10","003","2007"
"07M03V","",,,6.2072984333206,"10","003","2007"
"07M03W","",,,11.6774315630125,"10","003","2007"
"07M04V","",,,5.18654738237243,"10","003","2007"
"07M04W","",,,10.1953755153253,"10","003","2007"
"07M05V","",,,6.71116203571088,"10","003","2007"
"07M05W","",,,10.0092993630573,"10","003","2007"
"07M06V","",,,5.26382439848037,"10","003","2007"
"07M06W","",,,11.1785428924239,"10","003","2007"
"08C01S","",,,22.5584519751354,"10","003","2007"
"08C02Z","",,,22.5393700787402,"10","003","2007"
"08C04Z","",,,7.9898292771522,"10","003","2007"
"08C05V","",,,12.2944994621861,"10","003","2007"
"08C05W","",,,15.7064024390244,"10","003","2007"
"08C06Z","",,,24.6622340425532,"10","003","2007"
"08C08Z","",,,4.08615530004725,"10","003","2007"
"08C09V","",,,6.75413339331909,"10","003","2007"
"08C09W","",,,12.418331185567,"10","003","2007"
"08C10V","",,,5.73764606044781,"10","003","2007"
"08C10W","",,,11.3934027777778,"10","003","2007"
"08C11V","",,,3.23830844030921,"10","003","2007"
"08C11W","",,,6.78800208659364,"10","003","2007"
"08C12Z","",,,7.93166287015945,"10","003","2007"
"08C13Z","",,,4.27708764665286,"10","003","2007"
"08C14Z","",,,3.16538006156761,"10","003","2007"
"08C15V","",,,4.21743304214265,"10","003","2007"
"08C15W","",,,12.5905726529022,"10","003","2007"
"08C17Z","",,,2.24,"10","003","2007"
"08C18V","",,,2.89000881945319,"10","003","2007"
"08C18W","",,,7.38056680161943,"10","003","2007"
"08C19Z","",,,2.85043424794405,"10","003","2007"
"08C20Z","",,,9.55035128805621,"10","003","2007"
"08C21V","",,,4.89573260458272,"10","003","2007"
"08C21W","",,,11.968882602546,"10","003","2007"
"08C22Z","",,,14.5490757304711,"10","003","2007"
"08C23V","",,,11.7303364252275,"10","003","2007"
"08C23W","",,,14.1882929000668,"10","003","2007"
"08C24Z","",,,11.1379952295072,"10","003","2007"
"08C25Z","",,,10.4232902033272,"10","003","2007"
"08C26Z","",,,11.2280659234125,"10","003","2007"
"08C27V","",,,5.7806671055519,"10","003","2007"
"08C27W","",,,9.87811764705882,"10","003","2007"
"08C28Z","",,,6.91506849315068,"10","003","2007"
"08C29Z","",,,7.69532100108814,"10","003","2007"
"08C30V","",,,4.07448722562073,"10","003","2007"
"08C30W","",,,14.1173576950105,"10","003","2007"
"08M01S","",,,16.5276025236593,"10","003","2007"
"08M02Z","",,,2.22158929080034,"10","003","2007"
"08M03V","",,,2.92399497487437,"10","003","2007"
"08M03W","",,,8.76339622641509,"10","003","2007"
"08M04V","",,,9.84716027356527,"10","003","2007"
"08M04W","",,,13.3157570151095,"10","003","2007"
"08M05Z","",,,11.5443965517241,"10","003","2007"
"08M06Z","",,,2.94127688630932,"10","003","2007"
"08M07V","",,,4.06400358061989,"10","003","2007"
"08M07W","",,,9.19237506439979,"10","003","2007"
"08M08Z","",,,8.21602434077079,"10","003","2007"
"08M09Z","",,,6.84515655577299,"10","003","2007"
"08M10V","",,,5.00471769898037,"10","003","2007"
"08M10W","",,,10.3809958422067,"10","003","2007"
"08M11V","",,,9.97193250233189,"10","003","2007"
"08M11W","",,,14.7,"10","003","2007"
"08M12V","",,,5.70580787357265,"10","003","2007"
"08M12W","",,,10.1416359966758,"10","003","2007"
"08M13Z","",,,5.91519591519592,"10","003","2007"
"08M14V","",,,5.07461724415794,"10","003","2007"
"08M14W","",,,10.0083729584453,"10","003","2007"
"08M15V","",,,4.20917248255234,"10","003","2007"
"08M15W","",,,9.90153072880969,"10","003","2007"
"08M16Z","",,,12.0414137807926,"10","003","2007"
"08M17Z","",,,11.7142298670837,"10","003","2007"
"08M18Z","",,,5.05917753259779,"10","003","2007"
"08M19V","",,,6.04597194035119,"10","003","2007"
"08M19W","",,,11.7089347079038,"10","003","2007"
"09C02V","",,,18.8365800865801,"10","003","2007"
"09C02W","",,,31.0972918756269,"10","003","2007"
"09C03V","",,,5.22816399286988,"10","003","2007"
"09C03W","",,,18.8488262910798,"10","003","2007"
"09C04V","",,,6.32237377850163,"10","003","2007"
"09C04W","",,,9.89174800354925,"10","003","2007"
"09C05V","",,,4.05233350366207,"10","003","2007"
"09C05W","",,,6.76635514018692,"10","003","2007"
"09C06Z","",,,3.59843245735362,"10","003","2007"
"09C07Z","",,,2.41398380406873,"10","003","2007"
"09C08Z","",,,3.05405819295559,"10","003","2007"
"09C09Z","",,,4.60994886099489,"10","003","2007"
"09C10V","",,,4.58319454144952,"10","003","2007"
"09C10W","",,,17.78138424821,"10","003","2007"
"09M02Z","",,,3.07653447840364,"10","003","2007"
"09M03V","",,,3.08467208467208,"10","003","2007"
"09M03W","",,,8.41101694915254,"10","003","2007"
"09M04Z","",,,3.8158965764903,"10","003","2007"
"09M05V","",,,5.07102130639192,"10","003","2007"
"09M05W","",,,11.3158394530261,"10","003","2007"
"09M06Z","",,,15.8094611198877,"10","003","2007"
"09M07V","",,,4.22645692567568,"10","003","2007"
"09M07W","",,,9.81718241042345,"10","003","2007"
"09M08V","",,,5.94616090547568,"10","003","2007"
"09M08W","",,,11.6563649742458,"10","003","2007"
"09M09Z","",,,4.50031466331026,"10","003","2007"
"09M10V","",,,9.08662092624357,"10","003","2007"
"09M10W","",,,15.1917134831461,"10","003","2007"
"09Z02Z","",,,3.03074141048825,"10","003","2007"
"10C01S","",,,19.9398907103825,"10","003","2007"
"10C02Z","",,,7.75333333333333,"10","003","2007"
"10C03Z","",,,7.87157894736842,"10","003","2007"
"10C05Z","",,,3.6999722453511,"10","003","2007"
"10C07Z","",,,3.20848708487085,"10","003","2007"
"10C08Z","",,,10.9659810126582,"10","003","2007"
"10C09Z","",,,4.20405358983167,"10","003","2007"
"10C10Z","",,,5.25860405275008,"10","003","2007"
"10C11V","",,,3.70235467255335,"10","003","2007"
"10C11W","",,,5.45616438356164,"10","003","2007"
"10C12V","",,,3.45756277455393,"10","003","2007"
"10C12W","",,,4.29151895282247,"10","003","2007"
"10C13Z","",,,7.6986143187067,"10","003","2007"
"10M01S","",,,13.1938156986112,"10","003","2007"
"10M02V","",,,5.59822108584485,"10","003","2007"
"10M02W","",,,8.95230614180697,"10","003","2007"
"10M03Z","",,,6.09888220120378,"10","003","2007"
"10M04V","",,,3.32744574519066,"10","003","2007"
"10M04W","",,,10.3231396534149,"10","003","2007"
"10M05V","",,,4.30551362869573,"10","003","2007"
"10M05W","",,,9.98183821573768,"10","003","2007"
"10M06Z","",,,5.40604838709677,"10","003","2007"
"10M07V","",,,3.60795690012433,"10","003","2007"
"10M07W","",,,9.26001067805659,"10","003","2007"
"11C01S","",,,19.6417753470761,"10","003","2007"
"11C02V","",,,10.8173820314583,"10","003","2007"
"11C02W","",,,15.0899390243902,"10","003","2007"
"11C03V","",,,6.41504233116755,"10","003","2007"
"11C03W","",,,12.3991228070175,"10","003","2007"
"11C04Z","",,,6.23493323709852,"10","003","2007"
"11C05V","",,,3.80107448285944,"10","003","2007"
"11C05W","",,,8.12263374485597,"10","003","2007"
"11C06Z","",,,4.59276018099547,"10","003","2007"
"11C07Z","",,,6.13203684749232,"10","003","2007"
"11C08V","",,,3.91830905455584,"10","003","2007"
"11C08W","",,,13.4679935449166,"10","003","2007"
"11K02V","",,,7.16460637605725,"10","003","2007"
"11K02W","",,,16.8964462226406,"10","003","2007"
"11M01S","",,,13.4230671736375,"10","003","2007"
"11M02V","",,,2.85197775030902,"10","003","2007"
"11M02W","",,,5.49158708503865,"10","003","2007"
"11M03V","",,,3.5115171160552,"10","003","2007"
"11M03W","",,,5.29898218829517,"10","003","2007"
"11M04V","",,,3.98812398042414,"10","003","2007"
"11M04W","",,,9.00395085521561,"10","003","2007"
"11M06V","",,,4.07774750227066,"10","003","2007"
"11M06W","",,,10.2131797122653,"10","003","2007"
"11M07V","",,,6.14712950600801,"10","003","2007"
"11M07W","",,,11.6690410958904,"10","003","2007"
"11M08Z","",,,4.95951605397859,"10","003","2007"
"11M09V","",,,4.11267450807959,"10","003","2007"
"11M09W","",,,8.29039714225678,"10","003","2007"
"11M10V","",,,2.93248945147679,"10","003","2007"
"11M10W","",,,5.72222222222222,"10","003","2007"
"11M11Z","",,,4.61261261261261,"10","003","2007"
"11M12V","",,,3.24419163595578,"10","003","2007"
"11M12W","",,,7.21995017645838,"10","003","2007"
"12C01S","",,,18.2838283828383,"10","003","2007"
"12C03Z","",,,4.62975027144408,"10","003","2007"
"12C04V","",,,5.39481564664046,"10","003","2007"
"12C04W","",,,8.47718360071301,"10","003","2007"
"12C05Z","",,,3.99593495934959,"10","003","2007"
"12C06Z","",,,2.38877887788779,"10","003","2007"
"12C07Z","",,,3.38690601900739,"10","003","2007"
"12C08Z","",,,2.92401433691756,"10","003","2007"
"12C09Z","",,,8.00375939849624,"10","003","2007"
"12C10Z","",,,4.87173396674584,"10","003","2007"
"12C11Z","",,,8.25216287922482,"10","003","2007"
"12C12Z","",,,10.5475946775844,"10","003","2007"
"12M02V","",,,3.72340425531915,"10","003","2007"
"12M02W","",,,8.08428805237316,"10","003","2007"
